name,ONS_code,county,region,country,winner_2019,winner_2024,MP_name,winner_votes,percentage_of_total_votes,margin_of_total_votes,Labour,Conservative,Reform UK,Liberal Democrat,Green,Scottish National Party,Plaid Cymru,Sinn Fein,Democratic Unionist Party,Alliance Party,Ulster Unionist Party,Social Democratic and Labour Party,Traditional Unionist Voice,Independent,Other,total_votes,turnout
Central Suffolk and North Ipswich,E14001156,Suffolk,East England,England,Conservative,Conservative,Patrick Spencer,15144,0.326,0.0924,10854,15144,8806,5407,5652,0,0,0,0,0,0,0,0,0,560,46423,0.65
Chatham and Aylesford,E14001157,Kent,South East,England,Conservative,Labour,Tris Osborne,13689,0.335,0.0489,13689,11691,9989,2175,2504,0,0,0,0,0,0,0,0,0,797,40845,0.544
Cheadle,E14001158,Greater Manchester,North West,England,Conservative,Liberal Democrat,Tom Morrison,23681,0.467,0.241,7909,11446,5149,23681,1630,0,0,0,0,0,0,0,0,0,916,50731,0.697
Chelmsford,E14001159,Essex,East England,England,Conservative,Liberal Democrat,Marie Goldman,20214,0.399,0.0934,6108,15461,6754,20214,1588,0,0,0,0,0,0,0,0,0,591,50868,0.659
Chelsea and Fulham,E14001160,London,London,England,Conservative,Labour,Ben Coleman,18556,0.394,0.00323,18556,18404,3144,3611,2798,0,0,0,0,0,0,0,0,0,603,47116,0.616
Cheltenham,E14001161,Gloucestershire,South West,England,Conservative,Liberal Democrat,Max Wilkinson,25076,0.506,0.146,2665,17866,0,25076,3160,0,0,0,0,0,0,0,0,0,775,49542,0.651
Chesham and Amersham,E14001162,Buckinghamshire,South East,England,Conservative,Liberal Democrat,Sarah Green,24422,0.448,0.1,3502,18971,5310,24422,1673,0,0,0,0,0,0,0,0,0,577,54455,0.727
Chester North and Neston,E14001163,Cheshire,North West,England,Labour,Labour,Samantha Dixon,22258,0.498,0.266,22258,10388,5870,2076,4102,0,0,0,0,0,0,0,0,0,0,44694,0.637
Chester South and Eddisbury,E14001164,Cheshire,North West,England,Conservative,Conservative,Aphra Brandreth,19905,0.379,0.0582,16848,19905,6414,5430,2278,0,0,0,0,0,0,0,0,0,1611,52486,0.707
Chesterfield,E14001165,Derbyshire,East Midlands,England,Labour,Labour,Toby Perkins,19316,0.465,0.26,19316,8496,7897,2553,2682,0,0,0,0,0,0,0,0,0,611,41555,0.585
Chichester,E14001166,West Sussex,South East,England,Conservative,Liberal Democrat,Jess Brown-Fuller,25540,0.492,0.234,3175,13368,7859,25540,1815,0,0,0,0,0,0,0,0,0,190,51947,0.663
Chingford and Woodford Green,E14001167,London,London,England,Conservative,Conservative,Iain Duncan Smith,17281,0.356,0.0981,12524,17281,3653,1275,1334,0,0,0,0,0,0,0,0,0,12445,48512,0.645
Chippenham,E14001168,Wiltshire,South West,England,Conservative,Liberal Democrat,Sarah Gibson,22552,0.455,0.164,3925,14414,6127,22552,1954,0,0,0,0,0,0,0,0,0,540,49557,0.668
Chipping Barnet,E14001169,London,London,England,Conservative,Labour,Dan Tomlinson,21585,0.424,0.0573,21585,18671,3986,2614,3442,0,0,0,0,0,0,0,0,0,561,50859,0.652
Chorley,E14001170,Lancashire,North West,England,Speaker of the House of Commons,Speaker of the House of Commons,Lindsay Hoyle,25238,0.743,0.606,0,4663,29301,33964,0.472,0,0,0,0,0,0,0,0,0,,,
Christchurch,E14001171,Dorset,South West,England,Conservative,Conservative,Christopher Chope,16941,0.358,0.157,7762,16941,8961,9486,1900,0,0,0,0,0,0,0,0,0,2285,47335,0.666
Cities of London and Westminster,E14001172,London,London,England,Conservative,Labour,Rachel Blake,15302,0.39,0.0692,15302,12594,2752,4335,2844,0,0,0,0,0,0,0,0,0,1388,39126,0.533
City of Durham,E14001173,Durham,North East,England,Labour,Labour,Mary Kelly Foy,19131,0.471,0.289,19131,5221,7374,5920,2803,0,0,0,0,0,0,0,0,0,178,40627,0.576
Clacton,E14001174,Essex,East England,England,Conservative,Reform UK,Nigel Farage,21225,0.462,0.183,7448,12820,21225,2016,1935,0,0,0,0,0,0,0,0,0,514,45958,0.584
Clapham and Brixton Hill,E14001175,London,London,England,Labour,Labour,Bell Ribeiro-Addy,24166,0.565,0.256,24166,4360,1758,6161,5768,0,0,0,0,0,0,0,0,0,528,42741,0.574
Colchester,E14001176,Essex,East England,England,Conservative,Labour,Pam Cox,18804,0.419,0.184,18804,10554,6664,6393,2414,0,0,0,0,0,0,0,0,0,74,44903,0.571
Colne Valley,E14001177,West Yorkshire,Yorkshire and the Humber,England,Conservative,Labour,Paul Davies,18970,0.41,0.107,18970,14007,7298,2007,3480,0,0,0,0,0,0,0,0,0,459,46221,0.636
Congleton,E14001178,Cheshire,North West,England,Conservative,Labour,Sarah Russell,18875,0.377,0.0685,18875,15488,8245,2785,2007,0,0,0,0,0,0,0,0,0,2725,49425,0.675
Corby and East Northamptonshire,E14001179,Northamptonshire,East Midlands,England,Conservative,Labour,Lee Barron,21020,0.424,0.128,21020,14689,8760,2191,2507,0,0,0,0,0,0,0,0,0,422,49589,0.638
Coventry East,E14001180,West Midlands,West Midlands,England,Labour,Labour,Mary Creagh,18308,0.495,0.313,18308,6240,6685,1227,2730,0,0,0,0,0,0,0,0,0,1824,37142,0.488
Coventry North West,E14001181,West Midlands,West Midlands,England,Labour,Labour,Taiwo Owatemi,19696,0.469,0.266,19696,8522,7950,1931,3420,0,0,0,0,0,0,0,0,0,511,42030,0.559
Coventry South,E14001182,West Midlands,West Midlands,England,Labour,Labour,Zarah Sultana,20361,0.476,0.239,20361,10160,5711,2531,2363,0,0,0,0,0,0,0,0,0,1605,42731,0.56
Cramlington and Killingworth,E14001183,Northumberland,North East,England,Labour,Labour,Emma Foody,22274,0.491,0.282,22274,8592,9454,1898,2144,0,0,0,0,0,0,0,0,0,1032,45394,0.596
Crawley,E14001184,West Sussex,South East,England,Conservative,Labour,Peter Lamb,17453,0.382,0.115,17453,12218,8447,2205,2621,0,0,0,0,0,0,0,0,0,2698,45642,0.615
Crewe and Nantwich,E14001185,Cheshire,North West,England,Conservative,Labour,Connor Naismith,20837,0.441,0.206,20837,11110,9602,2286,2151,0,0,0,0,0,0,0,0,0,1211,47197,0.602
Croydon East,E14001186,London,London,England,Labour,Labour,Natasha Irons,18541,0.424,0.156,18541,11716,5862,3563,4097,0,0,0,0,0,0,0,0,0,0,43779,0.571
